mouse	cage	dominance
C03M1	C03	0.47818791
C03M2	C03	0.6068472746880562
C03M3	C03	0.8451558586961526
C03M4	C03	0.083107133
C03M5	C03	0.48061117203613185
C04M1	C04	0.4170401692141041
C04M2	C04	0.3839496110198229
C04M3	C04	0.916854631
C04M4	C04	0.5565714307177636
C04M5	C04	0.22670127346383656
C05M1	C05	0.8545432266488117
C05M2	C05	0.40599400819789455
C05M3	C05	0.2936124210943408
C05M4	C05	0.8728346604991508
C05M5	C05	0.072897179
C06M1	C06	0.4031982440276897
C06M2	C06	0.37628567687853176
C06M3	C06	0.9645886241823671
C06M4	C06	0.10817442759524475
C06M5	C06	0.6395912218505398
C10F1	C10	0.9867526647435604
C10F2	C10	0.455028277
C10F3	C10	0.1799262553579835
C10F4	C10	0.2025472951049345
C10F5	C10	0.6722183287647109
C11F1	C11	0.6452725531212407
C11F2	C11	0.4709859806871193
C11F3	C11	0.10300668306274773
C11F4	C11	0.7900030715704686
C11F5	C11	0.48963790602191576
C12F1	C12	0.3241590614975377
C12F2	C12	0.42440024025540324
C12F3	C12	0.9304955418863777
C12F4	C12	0.7586740204920006
C12F5	C12	0.053624996
C13F1	C13	0.48240202353653694
C13F2	C13	0.22117940037073086
C13F3	C13	0.9875835910301705
C13F4	C13	0.12300114379582047
C13F5	C13	0.6783163216630177
